content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,人生沒有最佳時機！一個離職客服人員的領悟,每個人都有感到失落迷惘的時候。人生用專制又霸道的方式運行著，每當我們心想一切塵埃落定、生活穩固的時候，生活總愛給我們驚喜，粉碎我們短暫的安逸，讓我們不得不重新思考。「我走對路了嗎？」「我能夠賺更多錢、,職場,心靈成長,2014/03/25,"客服人員,離職勇氣,離職的勇氣"
,全台10大連鎖薑母鴨推薦：重喝湯、愛吃料、點熱炒通通有,冷颼颼的冬天來臨，許多民眾想吃熱呼呼的食物暖暖身體，「薑母鴨」成為老饕們暖胃的首選。據傳，薑母鴨可能源自於泉州料理「鹽鴨」，台灣薑母鴨在早期沒有添加麻油，直到1980年代才開始放入米酒、麻油、中藥配方,生活,美食,2023/12/05,"美食,台灣,冬天,薑母鴨"
https://www.businessweekly.com.tw/style/blog/3014066,,,,,,
https://www.youtube.com/watch?v=7rKc4uWMbl8,,,,,,
,奇美集團二代帶路台南最狂早餐「山記魚仔店」，北寄貝、生蠔、大閘蟹全上桌 - alive - 商業名人的生活美學,第一次去山記魚仔店在兩年前的秋天，是奇美集團二代帶路，若非親眼所見，很難相信台南人吃這些海鮮當早餐。除了深海魚湯配鮭魚鬆飯在合理範圍，前後端上桌的生魚,"
                    專欄
                    
                        Columnist
                    
", ,2019/10/09,"美食,海鮮,台南,王瑞瑤,早餐"
,沒年終沒三節、連虧二十年　台農蛻變小農鮮乳軍火庫 - 商業周刊第1781期 - 商周線上讀,商周線上讀，收錄台灣《商業周刊》雜誌歷年報導文章，包括第一桶金、金磚四國、一個台灣兩個世界、成功者的筆記本、台灣哥倫布、新零售、新製造、新物種等領先觀念，記錄台灣與世界二十年來的趨勢改變。,產業風雲, ,2021-12-30,"鮮乳,台農,小農鮮乳,鮮乳坊"
,藏在苗栗的護國群山　它從沒有明天到稱霸亞洲 - 商業周刊第1798期 - 商周線上讀,商周線上讀，收錄台灣《商業周刊》雜誌歷年報導文章，包括第一桶金、金磚四國、一個台灣兩個世界、成功者的筆記本、台灣哥倫布、新零售、新製造、新物種等領先觀念，記錄台灣與世界二十年來的趨勢改變。,科技風雲, ,2022-04-28,"晶呈,台積電,半導體"
,砸30億蓋城堡，成嘉義新觀光景點！一揭台灣美容品牌佐登妮絲的6年轉型大計,佐登妮絲是台灣最大的直營美容集團，全世界擁有約600家門市，2021年營收28.1億元。2000年，佐登妮絲就在台灣自產自銷保養品，目前保養品營收占集團一半。​​2021年推出新品牌鎖定年輕族群的新品,財經,產業動態,2022/11/24,"變革管理,接班,高階主管"
,錶界奧斯卡GPHG最大贏家是誰？愛彼AP獨領風騷23年！,擁有錶界奧斯卡封號的GPHG日內瓦鐘錶大賞，2023年得獎名單出爐，最大獎再次由愛彼Audemars Piguet抱走。但除了2023年滿滿的收獲以外，回顧此獎項23年歷史，誰是獲得最多桂冠的品牌？答,生活,時尚藝文,2023/12/08,
https://podcasts.apple.com/tw/podcast/%E5%81%A5%E5%BA%B7%E5%95%8F%E8%89%AF%E9%86%AB-%E8%82%BA%E7%99%8C%E7%AC%AC%E5%9B%9B%E6%9C%9F%E5%A8%81%E8%84%85%E5%85%A8%E8%BA%AB%E6%80%8E%E9%BA%BC%E8%BE%A6-%E8%A7%A3%E9%8E%96%E8%87%B4%E7%99%8C%E5%9F%BA%E5%9B%A0-%E5%BB%B6%E9%95%B7%E5%AD%98%E6%B4%BB%E6%9C%9F-%E8%83%B8%E8%85%94%E5%85%A7%E7%A7%91%E6%AC%8A%E5%A8%81x%E5%A9%A6%E7%A7%91%E8%89%AF%E9%86%AB%E4%BE%86%E8%A7%A3%E7%AD%94/id1537748440?i=1000637928233,,,,,,
,讀「一起活下去」淚溼　讓夏韻芬勇敢說失子、失業痛 - 商業周刊第1766期 - 商周線上讀,商周線上讀，收錄台灣《商業周刊》雜誌歷年報導文章，包括第一桶金、金磚四國、一個台灣兩個世界、成功者的筆記本、台灣哥倫布、新零售、新製造、新物種等領先觀念，記錄台灣與世界二十年來的趨勢改變。,編輯會客室, ,2021-09-16,"夏韻芬,理財專家, 喪子,商業周刊,一起活下去,一起拚下去"
,接手阿婆半世紀傳統日曬麵線：能揉麵團的日子都是好日子 - alive - 商業名人的生活美學,還沒與「玫來晏趣製麵小農農莊」余玫芬、劉銘晏夫妻碰上面，一踏進製麵廠，先聞到一陣小麥香。味道，牽引著台南人余玫芬來到潮州。她記得小時候在潮州外婆家的美,"
                    美食
                    
                        Gourmet
                    
", ,2017/01/19,"潮州,麵線,屏東,美食"
,被菜市場養大、最台的老外銀行家，庶民老總逛林鑫川虎林街，私藏美食筆記大公開 - alive - 商業名人的生活美學,印象中銀行家西裝革履，出入有豪華黑頭車，連司機都格外文質彬彬。新加坡星展銀行來台近40年，台灣區總經理林鑫川上任3年多，被譽為「最台味的庶民老總」。他,"
                    美食
                    
                        Gourmet
                    
", ,2021/09/23," 菜市場, 傅士玲, 市場, 小吃, 美食, 虎林街"
,做好它，MIT能比中國製便宜　低成本智慧製造大師3教戰 - 商業周刊第1882期 - 商周線上讀,美的軍師、台灣永續企業經營協會總顧問詹志輝的低成本智慧製造，是美的稱霸全球的重要支柱，台商可從中學長打造高效率工廠的3大守則：一、搞懂理論教條背後的邏輯，二、用公式算出庫存合理值，三、避免集單生產造成誤判需求。高效率產線改革需要耐心，追求效率提升的同時，也別忘了周邊配套的升級與補強，也一樣重要。,中國焦點, ,2023-12-07,"美的,低成本智慧製造,製造,精實生產,詹志輝,比亞迪,產線"
,現代把馬斯克笑的「蠢生意」變商機，它的氫能車如何連4年贏豐田、拿第一 - 商業周刊第1849期 - 商周線上讀,2022年，氫能車全球銷量首度突破2萬輛，其中幾乎百分之百由現代製造的韓國車更占一半。現代也超車豐田，連4年蟬聯氫能車霸主。他更靠著氫能車、電動車、燃油車同步成長，去年汽車年銷量僅次於豐田、福斯，並首度超越雷諾—日產—三菱汽車集團，躋身全球第3大汽車集團。一個特斯拉馬斯克口中的傻瓜生意，現代如何玩出商機，還能超越豐田？,國際焦點, ,2023-04-20,"氫能車,現代,馬斯克,豐田,減碳"
,這家傳產跟搶人怪獸台積電做鄰居，如何躲過缺工潮、年年擴編15％ - 商業周刊第1845期 - 商周線上讀,台積電全台擴廠、高薪搶人，讓科技業人才荒越演越烈，尤其台積電總部坐落的竹科，眾多業者感嘆，找人好難。但就在緊鄰台積電竹科總部、搶人海嘯第一排，一家財力、資源都遠不如半導體大廠的傳產企業新代科技，卻照樣年年超標達成擴編15％的人才招募目標。,產業風雲, ,2023-03-23,"新代科技,人才,台積電,薪資,傳產"
,擁抱美肌新浪潮  歲末保養許一個煥然新氣象,歲末將至，在節慶氛圍烘抬下，各式聚會也增加，不少人為了與許久不見的朋友們見面不失面子，紛紛趁此機會整理門面，希冀以最佳狀況成為最受注目的焦點，並也期望能以更好的面貌迎接新年。台南維格診所醫師袁正分享，,生活,,2023/12/08,"索夫波,醫美新科技, 皮膚專科,維格診所,袁正醫師,抗老拉提"
,75歲阿公練成電競選手、銀髮網紅創千萬點閱率 - 商業周刊第1782期 - 商周線上讀,商周線上讀，收錄台灣《商業周刊》雜誌歷年報導文章，包括第一桶金、金磚四國、一個台灣兩個世界、成功者的筆記本、台灣哥倫布、新零售、新製造、新物種等領先觀念，記錄台灣與世界二十年來的趨勢改變。,產業風雲, ,2022-01-06,"熟齡移民,數位,網紅,電競,巴哈姆特"
,邁入40歲就害怕離職了⋯先做好3件事，中年轉職有底氣,上班族到了40歲有2種意義：一是大概平均還有10年的時間可以拿薪水過日子；另一方面，還有10年的時間可以創造讓自己獨立的技能。對上班族來說，40歲是擁有固定收入，同時為未來做準備的最後10年。,職場,職場修練,2023/03/08,"中年,職涯,中年轉職,職場"
,貧者愈貧、富者愈富，和習慣有關？7個讓你「慢性變窮」的習慣,1.背景學歷相似，工作產業、職位、起薪都差不多，卻可能會在40歲左右時經濟狀況有極大差距。2.消費方式是造成差距的極大部份因素，本文整理7種可能會導致「慢性變窮」的習慣。,財經,投資理財,2022/03/31,"複利,慢性變窮,原子習慣,變有錢的習慣,理財"
